chr-gene-id	gene length (bp)	number HetSNPs	HetSNPs rates
chr02-18974299-18974730	432	3	0.006944444444444444
chr02-18991951-18995723	3773	46	0.012191889742910151
chr02-19008276-19009079	804	6	0.007462686567164179
chr02-19010568-19011366	799	6	0.007509386733416771
chr02-19014408-19018797	4390	44	0.010022779043280182
chr02-19019614-19021721	2108	24	0.011385199240986717
chr02-19022393-19023370	978	9	0.009202453987730062
chr02-19025362-19026342	981	11	0.011213047910295617
chr02-19029511-19030032	522	8	0.01532567049808429
chr02-19031712-19034295	2584	10	0.003869969040247678
chr02-19035726-19040084	4359	25	0.005735260380821289
chr02-19053509-19059650	6142	29	0.0047215890589384565
chr02-19064258-19064623	366	0	0.0
chr02-19064656-19065018	363	0	0.0
chr02-19066745-19067113	369	0	0.0
chr02-19090407-19101173	10767	79	0.007337234141357852
chr02-19104309-19109926	5618	38	0.006763972944108224
chr02-19145075-19146478	1404	3	0.002136752136752137
chr02-19155346-19162062	6717	55	0.00818817924668751
chr02-19195868-19210934	15067	113	0.007499834074467379
chr02-19213795-19218049	4255	45	0.010575793184488837
chr02-19229701-19234818	5118	18	0.0035169988276670576
chr02-19239477-19240031	555	1	0.0018018018018018018
chr02-19260921-19262695	1775	23	0.012957746478873239
chr02-19262551-19265614	3064	23	0.007506527415143603
chr02-19282660-19283507	848	9	0.01061320754716981
chr02-19284106-19284942	837	8	0.009557945041816009
chr02-19288772-19289749	978	12	0.012269938650306749
chr02-19291825-19292853	1029	9	0.008746355685131196
chr02-19299629-19300447	819	6	0.007326007326007326
chr02-19300807-19307390	6584	39	0.005923450789793438
chr02-19332550-19347492	14943	111	0.007428227263601686
chr02-19348504-19367904	19401	99	0.005102829751043761
chr02-19369067-19371435	2369	6	0.002532714225411566
chr02-19378087-19378494	408	2	0.004901960784313725
chr02-19381073-19383536	2464	20	0.008116883116883116
chr02-19387140-19387942	803	12	0.014943960149439602
chr02-19402405-19402866	462	8	0.017316017316017316
chr02-19406158-19407317	1160	9	0.007758620689655172
chr02-19407562-19412196	4635	44	0.009492988133764833
chr02-19431195-19432877	1683	9	0.0053475935828877
chr02-19438228-19439013	786	3	0.003816793893129771
chr02-19451087-19452082	996	0	0.0
chr02-19453709-19459733	6025	4	0.0006639004149377593
chr02-19472147-19473040	894	3	0.003355704697986577
chr02-19473780-19478768	4989	26	0.005211465223491682
chr02-19480337-19486394	6058	37	0.006107626279300099
chr02-19496238-19499840	3603	28	0.007771301693033583
chr02-19499888-19500421	534	7	0.013108614232209739
chr02-19501203-19503359	2157	14	0.006490496059341678
chr02-19505344-19506195	852	13	0.015258215962441314
chr02-19528172-19529075	904	8	0.008849557522123894
chr02-19552991-19553443	453	0	0.0
chr02-19588305-19594773	6469	37	0.005719585716494048
chr02-19597310-19602294	4985	18	0.0036108324974924774
chr02-19606834-19615419	8586	46	0.005357558816678314
chr02-19624045-19626793	2749	26	0.009457984721716987
chr02-19643329-19644186	858	6	0.006993006993006993
chr02-19652851-19656134	3284	18	0.0054811205846528625
chr02-19683327-19685799	2473	1	0.0004043671653861706
chr02-19719319-19721567	2249	2	0.0008892841262783459
chr02-19740724-19741611	888	4	0.0045045045045045045
chr02-19768454-19771520	3067	18	0.0058689272905119005
chr02-19780990-19788459	7470	37	0.0049531459170013385
chr02-19788941-19794142	5202	56	0.010765090349865437
chr02-19797275-19799587	2313	16	0.006917423259835711
chr02-19801879-19806751	4873	37	0.007592858608659963
chr02-19815116-19827263	12148	41	0.003375041159038525
chr02-19827679-19829249	1571	6	0.0038192234245703373
chr02-19835974-19837576	1603	13	0.008109794135995009
chr02-19851402-19854605	3204	16	0.004993757802746567
chr02-19858135-19859534	1400	15	0.010714285714285714
chr02-19858142-19861777	3636	24	0.006600660066006601
chr02-19862884-19874766	11883	110	0.009256921652781283
chr02-19878057-19879922	1866	13	0.006966773847802787
chr02-19880528-19890545	10018	55	0.005490117787981633
chr02-19893024-19894739	1716	16	0.009324009324009324
chr02-19896333-19896966	634	8	0.012618296529968454
chr02-19904633-19905031	399	4	0.010025062656641603
chr02-19905496-19910466	4971	41	0.008247837457252062
chr02-19914641-19916719	2079	18	0.008658008658008658
chr02-19917625-19925909	8285	73	0.008811104405552203
chr02-19931687-19935488	3802	47	0.012361914781693845
chr02-19935811-19939745	3935	44	0.011181702668360865
chr02-19941913-19942906	994	8	0.008048289738430584
chr02-19943641-19945670	2030	9	0.004433497536945813
chr02-19955011-19963278	8268	57	0.006894049346879536
chr02-19965097-19970017	4921	45	0.009144482828693354
chr02-20010632-20013773	3142	10	0.003182686187141948
chr02-20014541-20016471	1931	10	0.005178663904712584
chr02-20017080-20023380	6301	29	0.0046024440564989685
chr02-20039410-20040278	869	7	0.00805523590333717
chr02-20041800-20043650	1851	8	0.004321988114532685
chr02-20046842-20047414	573	1	0.0017452006980802793
chr02-20050677-20053955	3279	28	0.008539188777066178
chr02-20054187-20056779	2593	26	0.010026995757809487
chr02-20056923-20063600	6678	57	0.008535489667565139
chr02-20064282-20068123	3842	26	0.00676730869338886
chr02-20072801-20074456	1656	9	0.005434782608695652
chr02-20083593-20091270	7678	62	0.008075019536337588
chr02-20118872-20120096	1225	9	0.007346938775510204
chr02-20134373-20134780	408	2	0.004901960784313725
chr02-20148439-20149071	633	0	0.0
chr02-20157003-20157344	342	0	0.0
chr02-20193687-20201655	7969	37	0.00464299159242063
chr02-20245172-20258718	13547	84	0.006200634826898944
chr02-20260147-20264033	3887	27	0.006946231026498585
chr02-20273650-20274886	1237	10	0.008084074373484237
chr02-20278285-20279255	971	5	0.005149330587023687
chr02-20283044-20291684	8641	56	0.0064807313968290705
chr02-20298917-20303090	4174	25	0.005989458552946814
chr02-20307303-20310101	2799	11	0.003929974991068239
chr02-20310877-20317693	6817	9	0.001320228839665542
chr02-20319329-20325339	6011	38	0.0063217434703044416
chr02-20335713-20347945	12233	34	0.0027793672852121313
chr02-20377781-20378637	857	5	0.005834305717619603
chr02-20467447-20469095	1649	7	0.004244996967859308
chr02-20469641-20471258	1618	2	0.0012360939431396785
chr02-20486398-20488013	1616	13	0.008044554455445545
chr02-20518255-20520262	2008	13	0.006474103585657371
chr02-20539056-20542737	3682	16	0.0043454644215100485
chr02-20546148-20550446	4299	21	0.004884856943475227
chr02-20559881-20562236	2356	12	0.0050933786078098476
chr02-20578247-20582010	3764	12	0.003188097768331562
chr02-20584267-20595262	10996	46	0.004183339396144053
chr02-20627075-20629186	2112	18	0.008522727272727272
chr02-20692226-20701870	9645	68	0.007050285121824779
chr02-20704920-20706409	1490	10	0.006711409395973154
chr02-20733323-20735051	1729	19	0.01098901098901099
chr02-20748653-20749580	928	11	0.011853448275862068
chr02-20752261-20754329	2069	10	0.004833252779120348
chr02-20757647-20760370	2724	14	0.005139500734214391
chr02-20773987-20777106	3120	11	0.0035256410256410257
chr02-20780861-20785107	4247	17	0.004002825523899223
chr02-20796613-20801984	5372	14	0.0026061057334326137
chr02-20798934-20799699	766	1	0.0013054830287206266
chr02-20818673-20831704	13032	35	0.002685696746470227
chr02-20836321-20841698	5378	13	0.0024172554853105245
chr02-20878027-20885062	7036	41	0.005827174530983513
chr02-20892718-20898494	5777	7	0.0012117015752120478
chr02-20899133-20903683	4551	12	0.0026367831245880024
chr02-20913475-20916242	2768	20	0.0072254335260115606
chr02-20917415-20924366	6952	16	0.0023014959723820483
chr02-20927070-20928607	1538	28	0.018205461638491547
chr02-20930505-20931806	1302	21	0.016129032258064516
chr02-20934399-20940418	6020	72	0.011960132890365448
chr02-20941462-20946513	5052	54	0.010688836104513063
chr02-20946602-20947323	722	12	0.01662049861495845
chr02-20954710-20961352	6643	26	0.003913894324853229
chr02-20978858-20979196	339	4	0.011799410029498525
chr02-20994413-20997742	3330	2	0.0006006006006006006
chr02-21006884-21008997	2114	20	0.00946073793755913
chr02-21030120-21032581	2462	9	0.0036555645816409425
chr02-21035967-21041323	5357	26	0.004853462759006907
chr02-21045949-21052101	6153	45	0.007313505607020965
chr02-21056049-21059390	3342	13	0.0038898862956313583
chr02-21058065-21060487	2423	17	0.0070160957490713995
chr02-21060650-21068379	7730	10	0.00129366106080207
chr02-21075158-21081150	5993	33	0.005506424161521775
chr02-21090947-21094504	3558	10	0.002810567734682406
chr02-21095377-21101064	5688	24	0.004219409282700422
chr02-21120432-21121855	1424	5	0.0035112359550561797
chr02-21165424-21167882	2459	18	0.0073200488003253355
chr02-21168801-21171824	3024	20	0.006613756613756613
chr02-21185560-21188702	3143	22	0.006999681832643971
chr02-21191607-21195279	3673	17	0.004628369180506398
chr02-21232191-21236179	3989	26	0.006517924291802457
chr02-21236505-21240109	3605	12	0.00332871012482663
chr02-21246925-21250675	3751	12	0.003199146894161557
chr02-21268069-21270196	2128	17	0.007988721804511278
chr02-21276524-21277197	674	5	0.00741839762611276
chr02-21277440-21282530	5091	16	0.003142801021410332
chr02-21302158-21305018	2861	15	0.005242922055225445
chr02-21305773-21306201	429	3	0.006993006993006993
chr02-21328612-21329474	863	2	0.002317497103128621
chr02-21334628-21335695	1068	4	0.003745318352059925
chr02-21345706-21348310	2605	6	0.0023032629558541267
chr02-21377422-21377739	318	1	0.0031446540880503146
chr02-21386898-21389898	3001	26	0.00866377874041986
chr02-21389954-21390358	405	2	0.0049382716049382715
chr02-21400375-21403044	2670	14	0.0052434456928838954
chr02-21404084-21405268	1185	1	0.0008438818565400844
chr02-21417757-21419089	1333	5	0.0037509377344336083
chr02-21431087-21432161	1075	6	0.005581395348837209
chr02-21445285-21448217	2933	19	0.0064780088646437094
chr02-21459010-21459464	455	3	0.006593406593406593
chr02-21459425-21469077	9653	48	0.004972547394592354
chr02-21472976-21474071	1096	9	0.008211678832116789
chr02-21476601-21480806	4206	20	0.004755111745126011
chr02-21481129-21486560	5432	30	0.005522827687776142
chr02-21568009-21569507	1499	3	0.0020013342228152103
chr02-21576895-21578746	1852	11	0.005939524838012959
chr02-21589761-21595819	6059	1	0.00016504373659019642
chr02-21631307-21632886	1580	8	0.005063291139240506
chr02-21635885-21637492	1608	10	0.006218905472636816
chr02-21638349-21645433	7085	25	0.0035285815102328866
chr02-21650730-21653314	2585	12	0.0046421663442940036
chr02-21654200-21661442	7243	43	0.005936766533204473
chr02-21662922-21664312	1391	6	0.004313443565780014
chr02-21665788-21666603	816	8	0.00980392156862745
chr02-21685407-21693702	8296	54	0.006509161041465767
chr02-21697966-21704073	6108	23	0.003765553372626064
chr02-21704900-21717043	12144	50	0.004117259552042161
chr02-21717209-21720227	3019	10	0.0033123550844650546
chr02-21721272-21722196	925	1	0.001081081081081081
chr02-21725065-21730056	4992	23	0.004607371794871795
chr02-21751319-21751940	622	3	0.00482315112540193
chr02-21775088-21777399	2312	5	0.0021626297577854673
chr02-21785044-21790972	5929	19	0.0032045876201720357
chr02-21807929-21810621	2693	20	0.007426661715558856
chr02-21849794-21859802	10009	55	0.005495054450994105
chr02-21879290-21881869	2580	10	0.003875968992248062
chr02-21882888-21886913	4026	13	0.003229011425732737
chr02-21892538-21897982	5445	24	0.004407713498622589
chr02-21920569-21926231	5663	30	0.005297545470598622
chr02-21925659-21925970	312	2	0.00641025641025641
chr02-21926276-21927064	789	6	0.0076045627376425855
chr02-21934517-21940309	5793	27	0.004660797514241326
chr02-21941719-21943579	1861	6	0.0032240730789897904
chr02-21963322-21966165	2844	30	0.010548523206751054
chr02-21970152-21973004	2853	5	0.0017525411847178409
chr02-21976759-21977091	333	0	0.0
chr02-21993921-22000110	6190	27	0.004361873990306946
chr02-22001608-22009838	8231	21	0.0025513303365326204
chr02-22012374-22013926	1553	8	0.0051513200257566
chr02-22015595-22016934	1340	4	0.0029850746268656717
chr02-22026861-22028946	2086	16	0.007670182166826462
chr02-22041955-22042904	950	8	0.008421052631578947
chr02-22044147-22046432	2286	15	0.006561679790026247
chr02-22063899-22065664	1766	15	0.008493771234428085
chr02-22066891-22067193	303	4	0.013201320132013201
chr02-22067316-22068840	1525	16	0.010491803278688525
chr02-22077934-22078928	995	0	0.0
chr02-22090419-22091297	879	5	0.005688282138794084
chr02-22104967-22105314	348	1	0.0028735632183908046
chr02-22121640-22124767	3128	3	0.0009590792838874681
chr02-22128512-22128979	468	0	0.0
chr02-22129164-22138558	9395	2	0.00021287919105907396
chr02-22138682-22140085	1404	0	0.0
chr02-22140207-22141124	918	1	0.0010893246187363835
chr02-22151690-22152954	1265	4	0.0031620553359683794
chr02-22154133-22154498	366	3	0.00819672131147541
chr02-22164771-22165809	1039	12	0.011549566891241578
chr02-22192118-22195649	3532	14	0.003963759909399773
chr02-22210911-22211366	456	2	0.0043859649122807015
chr02-22214387-22214824	438	0	0.0
chr02-22260974-22261957	984	7	0.007113821138211382
chr02-22314469-22315940	1472	19	0.012907608695652174
chr02-22318113-22324550	6438	35	0.005436470953712333
chr02-22327739-22328194	456	1	0.0021929824561403508
chr02-22341760-22342426	667	4	0.005997001499250375
chr02-22362459-22362908	450	3	0.006666666666666667
chr02-22376346-22376663	318	3	0.009433962264150943
chr02-22379618-22379965	348	0	0.0
chr02-22419760-22422362	2603	7	0.002689204763734153
chr02-22469833-22471578	1746	8	0.004581901489117984
chr02-22472207-22473560	1354	5	0.003692762186115214
chr02-22475424-22482534	7111	51	0.007171987062297849
chr02-22500911-22504569	3659	7	0.0019130910084722602
chr02-22516449-22518451	2003	16	0.00798801797304044
chr02-22550290-22551765	1476	7	0.0047425474254742545
chr02-22562232-22566314	4083	21	0.005143277002204262
chr02-22571685-22572998	1314	17	0.01293759512937595
chr02-22573494-22574134	641	8	0.0124804992199688
chr02-22582537-22583503	967	5	0.005170630816959669
chr02-22593288-22595564	2277	16	0.007026789635485288
chr02-22613188-22614853	1666	9	0.005402160864345739
chr02-22660150-22660783	634	1	0.0015772870662460567
chr02-22701087-22705297	4211	1	0.00023747328425552126
chr02-22722600-22725200	2601	18	0.006920415224913495
chr02-22729038-22736299	7262	16	0.002203249793445332
chr02-22743828-22748461	4634	32	0.0069054812257229176
chr02-22755066-22757804	2739	18	0.0065717415115005475
chr02-22763555-22766378	2824	11	0.003895184135977337
chr02-22766703-22771850	5148	20	0.003885003885003885
chr02-22783638-22784979	1342	7	0.005216095380029807
chr02-22788412-22790277	1866	11	0.005894962486602358
chr02-22806806-22817204	10399	32	0.0030772189633618617
chr02-22821110-22828832	7723	44	0.005697267901074712
chr02-22848373-22853055	4683	26	0.005551996583386718
chr02-22855199-22863572	8374	35	0.004179603534750418
chr02-22866028-22867698	1671	12	0.00718132854578097
chr02-22880506-22883500	2995	15	0.005008347245409015
chr02-22890819-22892617	1799	1	0.0005558643690939411
chr02-22902670-22904558	1889	7	0.0037056643726839597
chr02-22911838-22913486	1649	6	0.0036385688295936932
chr02-22917653-22920265	2613	8	0.0030616150019135095
chr02-22935429-22935984	556	0	0.0
chr02-22950105-22952270	2166	18	0.008310249307479225
chr02-22971047-22971894	848	6	0.007075471698113208
chr02-22976267-22978140	1874	16	0.008537886872998933
chr02-22999230-23001412	2183	17	0.007787448465414567
chr02-23026201-23028041	1841	18	0.00977729494839761
chr02-23037270-23038360	1091	2	0.0018331805682859762
chr02-23039012-23039950	939	5	0.005324813631522897
chr02-23042334-23043052	719	0	0.0
chr02-23045378-23048667	3290	8	0.0024316109422492403
chr02-23049976-23052108	2133	0	0.0
chr02-23054172-23054901	730	2	0.0027397260273972603
chr02-23114256-23114688	433	2	0.004618937644341801
chr02-23130540-23130941	402	0	0.0
chr02-23159551-23161106	1556	0	0.0
chr02-23224486-23226645	2160	0	0.0
chr02-23243838-23246009	2172	1	0.00046040515653775324
chr02-23253848-23256018	2171	0	0.0
chr02-23266632-23270674	4043	21	0.0051941627504328465
chr02-23279690-23280583	894	8	0.008948545861297539
chr02-23309386-23313515	4130	18	0.0043583535108958835
chr02-23314064-23315130	1067	10	0.00937207122774133
chr02-23316627-23318091	1465	5	0.0034129692832764505
chr02-23328424-23331300	2877	13	0.0045185957594716716
chr02-23344708-23345647	940	9	0.009574468085106383
chr02-23367897-23368609	713	8	0.011220196353436185
chr02-23372315-23374146	1832	10	0.0054585152838427945
chr02-23377605-23380002	2398	0	0.0
chr02-23398139-23403737	5599	34	0.006072512948740847
chr02-23419260-23421024	1765	16	0.009065155807365438
chr02-23436545-23439064	2520	5	0.001984126984126984
chr02-23439843-23440358	516	1	0.001937984496124031
chr02-23441279-23446200	4922	24	0.004876066639577408
chr02-23446500-23449024	2525	10	0.0039603960396039604
chr02-23450547-23456926	6380	24	0.003761755485893417
chr02-23460183-23468198	8016	17	0.0021207584830339322
chr02-23472736-23475037	2302	13	0.005647263249348393
chr02-23475866-23477926	2061	7	0.003396409509946628
chr02-23479122-23482336	3215	12	0.0037325038880248835
chr02-23495050-23496067	1018	5	0.004911591355599214
chr02-23525824-23526899	1076	5	0.004646840148698885
chr02-23547995-23548590	596	4	0.006711409395973154
chr02-23586758-23587633	876	7	0.007990867579908675
chr02-23588616-23592583	3968	27	0.006804435483870968
chr02-23610300-23611356	1057	0	0.0
chr02-23614512-23615015	504	0	0.0
chr02-23638060-23646253	8194	51	0.006224066390041493
chr02-23656302-23673930	17629	41	0.0023257133132906006
chr02-23689839-23691800	1962	6	0.0030581039755351682
chr02-23693638-23695491	1854	5	0.002696871628910464
chr02-23707329-23707778	450	3	0.006666666666666667
chr02-23726770-23728372	1603	13	0.008109794135995009
chr02-23742642-23743633	992	3	0.0030241935483870967
chr02-23748176-23750641	2466	12	0.004866180048661801
chr02-23769741-23771636	1896	9	0.004746835443037975
chr02-23783981-23786321	2341	19	0.008116189662537377
chr02-23816710-23822674	5965	37	0.006202849958088852
chr02-23823819-23830580	6762	33	0.0048802129547471165
chr02-23852981-23856354	3374	9	0.0026674570243034974
chr02-23865413-23870820	5408	36	0.006656804733727811
chr02-23872527-23878721	6195	67	0.010815173527037933
chr02-23880307-23886999	6693	30	0.0044822949350067235
chr02-23907111-23907668	558	1	0.0017921146953405018
chr02-23909321-23910973	1653	8	0.004839685420447671
chr02-23911793-23918478	6686	20	0.002991325157044571
chr02-23926516-23927856	1341	5	0.0037285607755406414
chr02-23935037-23940707	5671	39	0.006877093986951155
chr02-23942512-23945789	3278	32	0.009762050030506406
chr02-23946168-23949376	3209	34	0.010595200997195388
chr02-23951768-23953137	1370	15	0.010948905109489052
chr02-23953232-23953956	725	0	0.0
chr02-23960503-23963765	3263	14	0.004290530186944529
chr02-23966954-23967325	372	3	0.008064516129032258
chr02-23971025-23976938	5914	41	0.006932702062901589
chr02-23986435-23989267	2833	20	0.0070596540769502295
chr02-23993660-23999212	5553	38	0.006843147848010085
chr02-24018090-24021977	3888	25	0.006430041152263375
chr02-24033772-24034071	300	10	0.03333333333333333
chr02-24035955-24039012	3058	29	0.00948332243296272
chr02-24054188-24056887	2700	28	0.01037037037037037
chr02-24056918-24061108	4191	23	0.0054879503698401335
chr02-24066430-24069201	2772	17	0.006132756132756133
chr02-24075390-24079772	4383	21	0.004791238877481177
chr02-24097280-24097594	315	1	0.0031746031746031746
chr02-24104128-24106093	1966	7	0.003560528992878942
chr02-24106437-24107520	1084	2	0.0018450184501845018
chr02-24122246-24123724	1479	11	0.0074374577417173765
chr02-24139048-24139943	896	7	0.0078125
chr02-24179795-24180582	788	9	0.011421319796954314
chr02-24182732-24183210	479	6	0.012526096033402923
chr02-24199755-24209925	10171	47	0.004620981221118868
chr02-24210403-24212327	1925	29	0.015064935064935066
chr02-24214694-24217576	2883	22	0.007630939993062782
chr02-24217695-24225489	7795	44	0.005644644002565747
chr02-24230843-24247840	16998	62	0.0036474879397576185
chr02-24248832-24250916	2085	10	0.004796163069544364
chr02-24262510-24262833	324	2	0.006172839506172839
chr02-24277309-24278505	1197	12	0.010025062656641603
chr02-24292000-24295123	3124	7	0.002240717029449424
chr02-24298516-24299443	928	7	0.007543103448275862
chr02-24302258-24302984	727	7	0.009628610729023384
chr02-24304084-24305784	1701	8	0.004703115814226925
chr02-24304123-24304749	627	3	0.004784688995215311
chr02-24310534-24318613	8080	26	0.0032178217821782176
chr02-24320835-24322091	1257	15	0.011933174224343675
chr02-24322134-24334464	12331	45	0.003649339064147271
chr02-24351593-24355195	3603	17	0.004718290313627533
chr02-24355749-24357712	1964	16	0.008146639511201629
chr02-24360984-24367469	6486	23	0.0035460992907801418
chr02-24371059-24375546	4488	23	0.005124777183600713
chr02-24378736-24381823	3088	5	0.0016191709844559584
chr02-24387490-24396966	9477	69	0.0072807850585628366
chr02-24397654-24401604	3951	16	0.004049607694254619
chr02-24402637-24405748	3112	15	0.004820051413881748
chr02-24402789-24403304	516	3	0.005813953488372093
chr02-24407453-24408614	1162	7	0.006024096385542169
chr02-24410321-24417380	7060	42	0.00594900849858357
chr02-24418015-24424460	6446	43	0.006670803599131244
chr02-24450317-24451524	1208	4	0.0033112582781456954
chr02-24452623-24456498	3876	24	0.006191950464396285
chr02-24467038-24474306	7269	12	0.0016508460586050352
chr02-24478219-24478545	327	0	0.0
chr02-24492903-24494250	1348	0	0.0
chr02-24494858-24495274	417	2	0.004796163069544364
chr02-24496055-24499963	3909	14	0.003581478639038117
chr02-24519927-24522287	2361	18	0.007623888182973317
chr02-24524783-24526347	1565	9	0.005750798722044728
chr02-24545929-24548927	2999	16	0.0053351117039013
chr02-24551008-24552248	1241	1	0.0008058017727639
chr02-24556176-24559422	3247	3	0.0009239297813366184
chr02-24561712-24564752	3041	13	0.004274909569220651
chr02-24565131-24570020	4890	13	0.0026584867075664623
chr02-24576148-24577977	1830	5	0.00273224043715847
chr02-24578987-24580055	1069	5	0.004677268475210477
chr02-24581092-24581613	522	0	0.0
chr02-24585484-24586769	1286	10	0.007776049766718507
chr02-24587467-24589758	2292	22	0.009598603839441536
chr02-24594183-24595458	1276	4	0.003134796238244514
chr02-24608918-24609559	642	2	0.003115264797507788
chr02-24611103-24612348	1246	5	0.0040128410914927765
chr02-24613227-24614052	826	0	0.0
chr02-24614913-24615713	801	2	0.0024968789013732834
chr02-24629668-24631314	1647	0	0.0
chr02-24648601-24652873	4273	1	0.0002340276152586005
chr02-24671249-24672686	1438	6	0.004172461752433936
chr02-24677730-24679273	1544	5	0.003238341968911917
chr02-24692441-24695376	2936	9	0.0030653950953678476
chr02-24713390-24717093	3704	29	0.00782937365010799
chr02-24719886-24725762	5877	40	0.00680619363620895
chr02-24748645-24756067	7423	12	0.001616597063182002
chr02-24778155-24779447	1293	9	0.0069605568445475635
chr02-24786523-24793990	7468	43	0.005757900374933048
chr02-24792800-24793771	972	4	0.00411522633744856
chr02-24798078-24800208	2131	19	0.008916001877053027
chr02-24801358-24805612	4255	32	0.007520564042303173
chr02-24804578-24809207	4630	36	0.007775377969762419
chr02-24827296-24831034	3739	34	0.009093340465365071
chr02-24860438-24861808	1371	1	0.0007293946024799417
chr02-24865214-24867003	1790	9	0.005027932960893855
chr02-24869806-24872767	2962	13	0.004388926401080351
chr02-24872909-24876366	3458	23	0.006651243493348756
chr02-24906703-24909851	3149	1	0.00031756113051762465
chr02-24918175-24926202	8028	52	0.0064773293472845045
chr02-24929232-24931008	1777	13	0.007315700619020821
chr02-24934613-24935311	699	6	0.008583690987124463
chr02-24975531-24980140	4610	28	0.006073752711496746
chr02-24981389-24986050	4662	21	0.0045045045045045045
chr02-24987538-24988567	1030	10	0.009708737864077669
chr02-24988080-24991087	3008	12	0.003989361702127659
chr02-25001118-25014342	13225	51	0.0038563327032136107
chr02-25015504-25017491	1988	22	0.011066398390342052
chr02-25019751-25020477	727	7	0.009628610729023384
chr02-25022342-25022905	564	6	0.010638297872340425
chr02-25023532-25026707	3176	10	0.0031486146095717885
chr02-25027365-25027712	348	1	0.0028735632183908046
chr02-25032068-25032666	599	5	0.008347245409015025
chr02-25034095-25034421	327	1	0.0030581039755351682
chr02-25035209-25036860	1652	6	0.0036319612590799033
chr02-25040003-25042297	2295	6	0.00261437908496732
chr02-25043379-25044884	1506	20	0.013280212483399735
chr02-25045677-25048793	3117	8	0.0025665704202759063
chr02-25074417-25075400	984	5	0.00508130081300813
chr02-25082786-25083223	438	6	0.0136986301369863
chr02-25088292-25089593	1302	8	0.006144393241167435
chr02-25107295-25107861	567	0	0.0
chr02-25109399-25112650	3252	13	0.003997539975399754
chr02-25116655-25119581	2927	20	0.006832934745473181
chr02-25121292-25124590	3299	1	0.0003031221582297666
chr02-25127137-25130755	3619	30	0.008289582757667864
chr02-25131399-25131833	435	1	0.0022988505747126436
chr02-25133686-25134708	1023	10	0.009775171065493646
chr02-25142715-25143146	432	1	0.0023148148148148147
chr02-25154801-25163716	8916	24	0.0026917900403768506
chr02-25179095-25181387	2293	14	0.006105538595726123
chr02-25182290-25184580	2291	11	0.004801396769969445
chr02-25196760-25198149	1390	9	0.006474820143884892
chr02-25205459-25207973	2515	4	0.0015904572564612327
chr02-25225685-25227259	1575	6	0.0038095238095238095
chr02-25239079-25239771	693	1	0.001443001443001443
chr02-25241089-25242682	1594	1	0.0006273525721455458
chr02-25258442-25258765	324	8	0.024691358024691357
chr02-25260556-25261462	907	12	0.013230429988974642
chr02-25271126-25272615	1490	7	0.004697986577181208
chr02-25275660-25278571	2912	14	0.004807692307692308
chr02-25286067-25291286	5220	27	0.005172413793103448
chr02-25291983-25293592	1610	20	0.012422360248447204
chr02-25313745-25317387	3643	15	0.0041174855888004395
chr02-25343599-25347402	3804	12	0.0031545741324921135
chr02-25350015-25352988	2974	11	0.003698722259583053
chr02-25360234-25362682	2449	5	0.002041649652919559
chr02-25370154-25370468	315	0	0.0
chr02-25378229-25383195	4967	9	0.0018119589289309443
chr02-25390158-25395141	4984	8	0.0016051364365971107
chr02-25396014-25400034	4021	8	0.001989554837105198
chr02-25399342-25401770	2429	10	0.004116920543433511
chr02-25410494-25415385	4892	22	0.004497138184791497
chr02-25415613-25416647	1035	6	0.005797101449275362
chr02-25420103-25423739	3637	21	0.00577398955182843
chr02-25425163-25429572	4410	17	0.003854875283446712
chr02-25432462-25437237	4776	33	0.006909547738693468
chr02-25440455-25441360	906	5	0.005518763796909493
chr02-25446647-25454361	7715	55	0.007128969539857421
chr02-25454603-25457523	2921	18	0.0061622731941116055
chr02-25459775-25460122	348	3	0.008620689655172414
chr02-25460871-25461879	1009	5	0.004955401387512388
chr02-25465630-25466112	483	5	0.010351966873706004
chr02-25466636-25470363	3728	20	0.00536480686695279
chr02-25479334-25480964	1631	1	0.0006131207847946045
chr02-25482595-25485270	2676	16	0.005979073243647235
chr02-25488176-25492086	3911	21	0.005369470723600102
chr02-25492149-25497972	5824	22	0.0037774725274725275
chr02-25501367-25511257	9891	28	0.0028308563340410475
chr02-25511304-25514853	3550	23	0.006478873239436619
chr02-25514498-25517889	3392	8	0.0023584905660377358
chr02-25522475-25523820	1346	8	0.005943536404160475
chr02-25534532-25542412	7881	63	0.007993909402360106
chr02-25543357-25549297	5941	40	0.006732873253661
chr02-25557188-25563541	6354	34	0.0053509600251809885
chr02-25568941-25574202	5262	37	0.0070315469403268716
chr02-25574317-25580760	6444	35	0.005431409062693979
chr02-25581437-25584441	3005	23	0.007653910149750416
chr02-25583606-25588553	4948	28	0.005658852061438965
chr02-25598976-25602098	3123	10	0.003202049311559398
chr02-25609891-25610658	768	6	0.0078125
chr02-25610308-25613536	3229	10	0.003096934035305048
chr02-25613791-25618301	4511	35	0.007758811793393926
chr02-25619088-25624085	4998	29	0.005802320928371348
chr02-25627725-25628758	1034	4	0.0038684719535783366
chr02-25637411-25638697	1287	6	0.004662004662004662
chr02-25639079-25643134	4056	36	0.008875739644970414
chr02-25669556-25675765	6210	38	0.006119162640901771
chr02-25693335-25696197	2863	18	0.0062871114215857496
chr02-25700746-25701705	960	10	0.010416666666666666
chr02-25705873-25711558	5686	37	0.0065072106929300036
chr02-25727232-25729084	1853	10	0.005396654074473826
